price;title;location;surface;rooms
640000;Mieszkanie Warszawa Elsnerów, ul. Ponarska 1;Elsnerów;53.7;3
2397500;Nowe mieszkanie Warszawa Stary Mokotów;Stary Mokotów;95.9;3
499000;Mieszkanie Warszawa Praga-Południe, ul. Żupnicza;Praga-Południe;31.0;1
647000;Mieszkanie Warszawa Wola;Wola;37.0;2
860000;Mieszkanie Warszawa Praga-Południe, ul. Francuska;Praga-Południe;43.01;2
1130000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;77.0;3
480000;Mieszkanie Warszawa Praga-Południe, ul. Międzynarodowa;Praga-Południe;38.0;2
1329000;Mieszkanie Warszawa Śródmieście, ul. Krucza;Śródmieście;69.5;3
8500000;Mieszkanie Warszawa Mokotów;Mokotów;315.0;5
3500000;Mieszkanie Warszawa Sielce;Sielce;139.0;4
517893;Nowe mieszkanie Warszawa Praga-Południe, ul. Podskarbińska 32/34;Praga-Południe;38.65;2
699000;Mieszkanie Warszawa Praga-Południe;Praga-Południe;58.0;3
1200000;Mieszkanie Warszawa Targówek, ul. św. Wincentego;Targówek;82.0;3
433800;Nowe mieszkanie Warszawa Praga-Południe;Praga-Południe;28.86;1
826000;Nowe mieszkanie Warszawa Śródmieście, ul. Grzybowska 37;Śródmieście;33.0;1
2800000;Mieszkanie Warszawa Mokotów, ul. Jana III Sobieskiego;Mokotów;197.0;4
6997000;Mieszkanie Warszawa Śródmieście;Śródmieście;239.0;7
416000;Mieszkanie Warszawa Śródmieście, ul. Stanisława Dubois;Śródmieście;28.1;1
1162880;Nowe mieszkanie Warszawa Powiśle;Powiśle;50.2;2
530000;Mieszkanie Warszawa Śródmieście, ul. Jana Pawła II;Śródmieście;39.55;2
589000;Mieszkanie Warszawa Żoliborz;Żoliborz;34.0;2
445000;Mieszkanie Warszawa Szmulowizna, ul. Grodzieńska;Szmulowizna;31.0;1
579000;Mieszkanie Warszawa Targówek, ul. Szymona Askenazego;Targówek;61.0;3
840000;Mieszkanie Warszawa Śródmieście, ul. Stanisława Dubois;Śródmieście;51.15;2
680000;Mieszkanie Warszawa Saska Kępa, ul. Egipska;Saska Kępa;57.0;3
2699000;Mieszkanie Warszawa Śródmieście, ul. Piękna;Śródmieście;156.77;7
900000;Mieszkanie Warszawa Żoliborz, ul. Rydygiera;Żoliborz;46.0;2
623800;Nowe mieszkanie Warszawa;mazowieckie;33.73;1
3670000;Mieszkanie Warszawa Muranów, ul. Sienna;Muranów;211.0;5
2772000;Mieszkanie Warszawa Śródmieście;Śródmieście;154.0;4
780000;Nowe mieszkanie Warszawa Kamionek, ul. Żupnicza;Kamionek;74.11;4
570000;Mieszkanie Warszawa Muranów;Muranów;44.87;3
637000;Mieszkanie Warszawa Śródmieście, ul. Grzybowska;Śródmieście;49.0;2
555000;Mieszkanie Warszawa Wola, ul. Żelazna;Wola;27.2;1
2100000;Mieszkanie Warszawa Wilanów;Wilanów;167.0;4
